[2022-08-08 23:34:35.711031][Task_List] ['receive_energy', 'mission_explore', 'shopping', 'mission_arena', 'mission_gashapon', 'mission_guild', 'mission_dungeons', 'mission_princess_arena', 'mission_complete']
[2022-08-08 23:34:35.765719][Task] initial
[2022-08-14 12:25:36.329273][mission_princess_arena][blank_button][idle] 3.72 seconds
[2022-08-14 12:25:40.055476][Task] <click> blank_button
[2022-08-14 12:25:40.058478][mission_princess_arena][blank_button][click] (54.0, 146.0)
[2022-08-14 12:25:40.067486][mission_princess_arena][blank_button][idle] 4.13 seconds
[2022-08-14 12:25:44.203542][Task] mission_complete
[2022-08-14 12:25:44.206545][Task] <click> main_button
[2022-08-14 12:25:44.209547][mission_complete][main_button][click] (125.0, 670.0)
[2022-08-14 12:25:44.216553][mission_complete][main_button][idle] 5.34 seconds
[2022-08-14 12:25:49.560648][Task] <click> mission_button
[2022-08-14 12:25:49.564151][mission_complete][mission_button][click] (1118.0, 574.0)
[2022-08-14 12:25:49.572158][mission_complete][mission_button][idle] 7.86 seconds
[2022-08-14 12:25:57.437921][Task] <click> receive_button
[2022-08-14 12:25:57.440923][mission_complete][receive_button][click] (1087.0, 596.0)
[2022-08-14 12:25:57.449931][mission_complete][receive_button][idle] 5.94 seconds
[2022-08-14 12:26:03.396044][Task] <click> blank_button
[2022-08-14 12:26:03.399547][mission_complete][blank_button][click] (56.0, 140.0)
[2022-08-14 12:26:03.407553][mission_complete][blank_button][idle] 3.86 seconds
[2022-08-14 12:26:07.271877][Connect] taskkill /f /im adb.exe
[2022-08-14 12:26:07.461540][Connect] F:\LDPlayer\LDPlayer4.0\adb.exe kill-server
[2022-08-14 12:26:07.471048]['SUCCESS: The process "adb.exe" with PID 10768 has been terminated.']
[2022-08-15 23:16:26.298290][Task_List] ['receive_energy', 'mission_guild', 'mission_dungeons', 'shopping', 'mission_explore', 'mission_arena', 'mission_gashapon', 'mission_princess_arena', 'mission_complete']
[2022-08-15 23:16:26.369255][Task] initial
[2022-08-15 23:16:26.376354][Task] <click> blank_button
[2022-08-15 23:16:26.381479][initial][blank_button][click] (3.0, 5.0)
[2022-08-15 23:16:26.388328][initial][blank_button][idle] 10.11 seconds
[2022-08-15 23:16:36.503520][Task] receive_energy
[2022-08-15 23:16:36.554117][Task] <click> home_button
[2022-08-15 23:16:36.559003][receive_energy][home_button][click] (834.0, 682.0)
[2022-08-15 23:16:36.564863][receive_energy][home_button][idle] 6.43 seconds
[2022-08-15 23:16:42.999185][Task] <click> receive_button
[2022-08-15 23:16:43.006787][receive_energy][receive_button][click] (1202.0, 561.0)
[2022-08-15 23:16:43.014718][receive_energy][receive_button][idle] 3.1 seconds
[2022-08-15 23:16:46.119223][Task] <click> blank_button
[2022-08-15 23:16:46.134092][receive_energy][blank_button][click] (52.0, 48.0)
[2022-08-15 23:16:46.141904][receive_energy][blank_button][idle] 3.05 seconds
[2022-08-15 23:16:49.197375][Task] mission_guild
[2022-08-15 23:16:49.202262][Task] <click> main_button
[2022-08-15 23:16:49.206168][mission_guild][main_button][click] (139.0, 690.0)
[2022-08-15 23:16:49.212164][mission_guild][main_button][idle] 7.26 seconds
[2022-08-15 23:16:56.476077][Task] <click> guild_button
[2022-08-15 23:16:56.480431][mission_guild][guild_button][click] (922.0, 580.0)
[2022-08-15 23:16:56.487267][mission_guild][guild_button][idle] 7.77 seconds
[2022-08-15 23:17:04.261965][Task] <click> blank_button
[2022-08-15 23:17:04.265872][mission_guild][blank_button][click] (59.0, 138.0)
[2022-08-15 23:17:04.273386][mission_guild][blank_button][idle] 3.92 seconds
[2022-08-15 23:17:08.198846][Task] <click> friend_button
[2022-08-15 23:17:08.204700][mission_guild][friend_button][click] (319.0, 465.0)
[2022-08-15 23:17:08.212513][mission_guild][friend_button][idle] 6.71 seconds
[2022-08-15 23:17:14.926788][Task] <click> like_button
[2022-08-15 23:17:14.954683][mission_guild][like_button][click] (1104.0, 422.0)
[2022-08-15 23:17:14.963473][mission_guild][like_button][idle] 4.29 seconds
[2022-08-15 23:17:19.258809][Task] <click> blank_button
[2022-08-15 23:17:19.299552][mission_guild][blank_button][click] (63.0, 148.0)
[2022-08-15 23:17:19.309821][mission_guild][blank_button][idle] 4.28 seconds
[2022-08-15 23:17:23.604206][Task] mission_dungeons
[2022-08-15 23:17:23.646505][Task] <click> adventure_button
[2022-08-15 23:17:23.660318][mission_dungeons][adventure_button][click] (645.0, 685.0)
[2022-08-15 23:17:23.675210][mission_dungeons][adventure_button][idle] 7.55 seconds
[2022-08-15 23:17:31.247559][Task] <click> dungeons_button
[2022-08-15 23:17:31.254147][mission_dungeons][dungeons_button][click] (1171.0, 189.0)
[2022-08-15 23:17:31.271307][mission_dungeons][dungeons_button][idle] 5.48 seconds
[2022-08-15 23:17:36.762543][Task] <click> last_extreme_button
[2022-08-15 23:17:36.818060][mission_dungeons][last_extreme_button][click] (1090.0, 336.0)
[2022-08-15 23:17:36.833489][mission_dungeons][last_extreme_button][idle] 4.97 seconds
[2022-08-15 23:17:41.816392][Task] <click> ok_button
[2022-08-15 23:17:41.825367][mission_dungeons][ok_button][click] (783.0, 566.0)
[2022-08-15 23:17:41.837661][mission_dungeons][ok_button][idle] 5.56 seconds
[2022-08-15 23:17:47.405810][Task] <click> first_enemy
[2022-08-15 23:17:47.415576][mission_dungeons][first_enemy][click] (904.0, 359.0)
[2022-08-15 23:17:47.432111][mission_dungeons][first_enemy][idle] 3.01 seconds
[2022-08-15 23:17:50.449868][Task] <click> challenge_button
[2022-08-15 23:17:50.471586][mission_dungeons][challenge_button][click] (1108.0, 607.0)
[2022-08-15 23:17:50.485406][mission_dungeons][challenge_button][idle] 5.72 seconds
[2022-08-15 23:17:56.219539][Task] <click> my_team_button
[2022-08-15 23:17:56.240606][mission_dungeons][my_team_button][click] (1153.0, 119.0)
[2022-08-15 23:17:56.256235][mission_dungeons][my_team_button][idle] 4.57 seconds
[2022-08-15 23:18:00.838122][Task] <click> call_button
[2022-08-15 23:18:00.846913][mission_dungeons][call_button][click] (1054.0, 275.0)
[2022-08-15 23:18:00.863092][mission_dungeons][call_button][idle] 5.31 seconds
[2022-08-15 23:18:06.180719][Task] <click> attack_button
[2022-08-15 23:18:06.209759][mission_dungeons][attack_button][click] (1100.0, 603.0)
[2022-08-15 23:18:06.226809][mission_dungeons][attack_button][idle] 35.24 seconds
[2022-08-15 23:18:41.477768][Task] <click> next_button
[2022-08-15 23:18:41.484828][mission_dungeons][next_button][click] (1101.0, 656.0)
[2022-08-15 23:18:41.499719][mission_dungeons][next_button][idle] 7.18 seconds
[2022-08-15 23:18:48.687380][Task] <click> blank_button
[2022-08-15 23:18:48.697295][mission_dungeons][blank_button][click] (58.0, 146.0)
[2022-08-15 23:18:48.711532][mission_dungeons][blank_button][idle] 8.54 seconds
[2022-08-15 23:18:57.259577][Task] <click> second_enemy
[2022-08-15 23:18:57.272435][mission_dungeons][second_enemy][click] (639.0, 343.0)
[2022-08-15 23:18:57.286684][mission_dungeons][second_enemy][idle] 4.79 seconds
[2022-08-15 23:19:02.082806][Task] <click> challenge_button
[2022-08-15 23:19:02.130587][mission_dungeons][challenge_button][click] (1107.0, 604.0)
[2022-08-15 23:19:02.143337][mission_dungeons][challenge_button][idle] 5.75 seconds
[2022-08-15 23:19:07.908746][Task] <click> attack_button
[2022-08-15 23:19:07.917536][mission_dungeons][attack_button][click] (1120.0, 610.0)
[2022-08-15 23:19:07.936937][mission_dungeons][attack_button][idle] 37.08 seconds
[2022-08-15 23:19:45.028603][Task] <click> next_button
[2022-08-15 23:19:45.058615][mission_dungeons][next_button][click] (1082.0, 656.0)
[2022-08-15 23:19:45.073112][mission_dungeons][next_button][idle] 7.01 seconds
[2022-08-15 23:19:52.090983][Task] <click> blank_button
[2022-08-15 23:19:52.124359][mission_dungeons][blank_button][click] (59.0, 137.0)
[2022-08-15 23:19:52.139408][mission_dungeons][blank_button][idle] 8.64 seconds
[2022-08-15 23:20:00.785790][Task] <click> third_enemy
[2022-08-15 23:20:00.800403][mission_dungeons][third_enemy][click] (293.0, 325.0)
[2022-08-15 23:20:00.814656][mission_dungeons][third_enemy][idle] 4.85 seconds
[2022-08-15 23:20:05.671699][Task] <click> challenge_button
[2022-08-15 23:20:05.677559][mission_dungeons][challenge_button][click] (1127.0, 604.0)
[2022-08-15 23:20:05.694539][mission_dungeons][challenge_button][idle] 6.46 seconds
[2022-08-15 23:20:12.169574][Task] <click> attack_button
[2022-08-15 23:20:12.178378][mission_dungeons][attack_button][click] (1121.0, 599.0)
[2022-08-15 23:20:12.192744][mission_dungeons][attack_button][idle] 37.09 seconds
[2022-08-15 23:20:49.292757][Task] <click> next_button
[2022-08-15 23:20:49.306667][mission_dungeons][next_button][click] (1110.0, 654.0)
[2022-08-15 23:20:49.325706][mission_dungeons][next_button][idle] 5.78 seconds
[2022-08-15 23:20:55.113593][Task] <click> blank_button
[2022-08-15 23:20:55.172492][mission_dungeons][blank_button][click] (52.0, 148.0)
[2022-08-15 23:20:55.185862][mission_dungeons][blank_button][idle] 9.79 seconds
[2022-08-15 23:21:04.982627][Task] <click> fourth_enemy
[2022-08-15 23:21:04.994602][mission_dungeons][fourth_enemy][click] (653.0, 339.0)
[2022-08-15 23:21:05.009509][mission_dungeons][fourth_enemy][idle] 5.4 seconds
[2022-08-15 23:21:10.420227][Task] <click> challenge_button
[2022-08-15 23:21:10.460357][mission_dungeons][challenge_button][click] (1115.0, 601.0)
[2022-08-15 23:21:10.477673][mission_dungeons][challenge_button][idle] 5.62 seconds
[2022-08-15 23:21:16.108739][Task] <click> attack_button
[2022-08-15 23:21:16.128642][mission_dungeons][attack_button][click] (1129.0, 611.0)
[2022-08-15 23:21:16.154334][mission_dungeons][attack_button][idle] 37.63 seconds
[2022-08-15 23:21:53.795495][Task] <click> next_button
[2022-08-15 23:21:53.804761][mission_dungeons][next_button][click] (1128.0, 650.0)
[2022-08-15 23:21:53.818916][mission_dungeons][next_button][idle] 5.41 seconds
[2022-08-15 23:21:59.238797][Task] <click> blank_button
[2022-08-15 23:21:59.264806][mission_dungeons][blank_button][click] (70.0, 131.0)
[2022-08-15 23:21:59.279200][mission_dungeons][blank_button][idle] 8.2 seconds
[2022-08-15 23:22:07.489697][Task] <click> retreat_button
[2022-08-15 23:22:07.541502][mission_dungeons][retreat_button][click] (1086.0, 569.0)
[2022-08-15 23:22:07.559354][mission_dungeons][retreat_button][idle] 3.02 seconds
[2022-08-15 23:22:10.590416][Task] <click> comfirm_button
[2022-08-15 23:22:10.597251][mission_dungeons][comfirm_button][click] (784.0, 491.0)
[2022-08-15 23:22:10.614187][mission_dungeons][comfirm_button][idle] 3.22 seconds
[2022-08-15 23:22:13.852793][Task] shopping
[2022-08-15 23:22:13.868950][Task] <click> main_button
[2022-08-15 23:22:13.873825][shopping][main_button][click] (136.0, 682.0)
[2022-08-15 23:22:13.882853][shopping][main_button][idle] 5.48 seconds
[2022-08-15 23:22:19.368748][Task] <click> shop_button
[2022-08-15 23:22:19.424819][shopping][shop_button][click] (815.0, 585.0)
[2022-08-15 23:22:19.441583][shopping][shop_button][idle] 5.23 seconds
[2022-08-15 23:22:24.677743][Task] <click> first_cargo
[2022-08-15 23:22:24.692853][shopping][first_cargo][click] (510.0, 201.0)
[2022-08-15 23:22:24.702826][shopping][first_cargo][idle] 2.21 seconds
[2022-08-15 23:22:26.920566][Task] <click> second_cargo
[2022-08-15 23:22:26.927403][shopping][second_cargo][click] (749.0, 198.0)
[2022-08-15 23:22:26.935377][shopping][second_cargo][idle] 1.53 seconds
[2022-08-15 23:22:28.476846][Task] <click> third_cargo
[2022-08-15 23:22:28.483569][shopping][third_cargo][click] (967.0, 199.0)
[2022-08-15 23:22:28.492363][shopping][third_cargo][idle] 1.48 seconds
[2022-08-15 23:22:29.979028][Task] <click> fourth_cargo
[2022-08-15 23:22:30.012532][shopping][fourth_cargo][click] (1205.0, 202.0)
[2022-08-15 23:22:30.022301][shopping][fourth_cargo][idle] 3.91 seconds
[2022-08-15 23:22:33.947161][Task] <click> buy_button
[2022-08-15 23:22:33.967413][shopping][buy_button][click] (1142.0, 582.0)
[2022-08-15 23:22:33.977834][shopping][buy_button][idle] 5.71 seconds
[2022-08-15 23:22:39.694628][Task] <click> ok_button
[2022-08-15 23:22:39.725671][shopping][ok_button][click] (787.0, 639.0)
[2022-08-15 23:22:39.736414][shopping][ok_button][idle] 3.19 seconds
[2022-08-15 23:22:42.931902][Task] <click> blank_button
[2022-08-15 23:22:42.965544][shopping][blank_button][click] (193.0, 208.0)
[2022-08-15 23:22:42.976913][shopping][blank_button][idle] 4.31 seconds
[2022-08-15 23:22:47.293614][Task] mission_explore
[2022-08-15 23:22:47.312023][Task] <click> adventure_button
[2022-08-15 23:22:47.317897][mission_explore][adventure_button][click] (654.0, 670.0)
[2022-08-15 23:22:47.329918][mission_explore][adventure_button][idle] 6.75 seconds
[2022-08-15 23:22:54.090065][Task] <click> explore_button
[2022-08-15 23:22:54.096901][mission_explore][explore_button][click] (972.0, 172.0)
[2022-08-15 23:22:54.110251][mission_explore][explore_button][idle] 5.45 seconds
[2022-08-15 23:22:59.568917][Task] <click> exp_button
[2022-08-15 23:22:59.576720][mission_explore][exp_button][click] (782.0, 323.0)
[2022-08-15 23:22:59.585588][mission_explore][exp_button][idle] 5.47 seconds
[2022-08-15 23:23:05.062708][Task] <click> level_button
[2022-08-15 23:23:05.070896][mission_explore][level_button][click] (980.0, 196.0)
[2022-08-15 23:23:05.089706][mission_explore][level_button][idle] 6.35 seconds
[2022-08-15 23:23:11.449771][Task] <click> attack_button
[2022-08-15 23:23:11.458562][mission_explore][attack_button][click] (1025.0, 439.0)
[2022-08-15 23:23:11.473705][mission_explore][attack_button][idle] 3.77 seconds
[2022-08-15 23:23:15.250556][Task] <click> ok_button
[2022-08-15 23:23:15.307613][mission_explore][ok_button][click] (772.0, 490.0)
[2022-08-15 23:23:15.316395][mission_explore][ok_button][idle] 8.76 seconds
[2022-08-15 23:23:24.087748][Task] <click> blank_button
[2022-08-15 23:23:24.095569][mission_explore][blank_button][click] (56.0, 147.0)
[2022-08-15 23:23:24.105339][mission_explore][blank_button][idle] 6.46 seconds
[2022-08-15 23:23:30.571445][Task] <click> level_button
[2022-08-15 23:23:30.578296][mission_explore][level_button][click] (948.0, 203.0)
[2022-08-15 23:23:30.594530][mission_explore][level_button][idle] 7.97 seconds
[2022-08-15 23:23:38.571725][Task] <click> attack_button
[2022-08-15 23:23:38.581335][mission_explore][attack_button][click] (1023.0, 441.0)
[2022-08-15 23:23:38.597353][mission_explore][attack_button][idle] 4.86 seconds
[2022-08-15 23:23:43.463668][Task] <click> ok_button
[2022-08-15 23:23:43.472432][mission_explore][ok_button][click] (783.0, 490.0)
[2022-08-15 23:23:43.481900][mission_explore][ok_button][idle] 9.09 seconds
[2022-08-15 23:23:52.577850][Task] <click> blank_button
[2022-08-15 23:23:52.583938][mission_explore][blank_button][click] (54.0, 147.0)
[2022-08-15 23:23:52.594572][mission_explore][blank_button][idle] 6.04 seconds
[2022-08-15 23:23:58.641634][Task] mission_arena
[2022-08-15 23:23:58.651878][Task] <click> adventure_button
[2022-08-15 23:23:58.657738][mission_arena][adventure_button][click] (622.0, 689.0)
[2022-08-15 23:23:58.670511][mission_arena][adventure_button][idle] 5.77 seconds
[2022-08-15 23:24:04.448884][Task] <click> arena_button
[2022-08-15 23:24:04.465606][mission_arena][arena_button][click] (728.0, 536.0)
[2022-08-15 23:24:04.477828][mission_arena][arena_button][idle] 6.95 seconds
[2022-08-15 23:24:11.432854][Task] <click> blank_button
[2022-08-15 23:24:11.441645][mission_arena][blank_button][click] (51.0, 148.0)
[2022-08-15 23:24:11.451253][mission_arena][blank_button][idle] 3.11 seconds
[2022-08-15 23:24:14.567333][Task] <click> receive_button
[2022-08-15 23:24:14.585529][mission_arena][receive_button][click] (387.0, 447.0)
[2022-08-15 23:24:14.599678][mission_arena][receive_button][idle] 3.5 seconds
[2022-08-15 23:24:18.105689][Task] <click> blank_button
[2022-08-15 23:24:18.132544][mission_arena][blank_button][click] (65.0, 141.0)
[2022-08-15 23:24:18.143018][mission_arena][blank_button][idle] 5.38 seconds
[2022-08-15 23:24:23.529651][Task] <click> first_person
[2022-08-15 23:24:23.537464][mission_arena][first_person][click] (815.0, 236.0)
[2022-08-15 23:24:23.548225][mission_arena][first_person][idle] 4.73 seconds
[2022-08-15 23:24:28.285854][Task] <click> attack_button
[2022-08-15 23:24:28.294647][mission_arena][attack_button][click] (1111.0, 602.0)
[2022-08-15 23:24:28.309410][mission_arena][attack_button][idle] 8.47 seconds
[2022-08-15 23:24:36.786633][Task] <click> skip_button
[2022-08-15 23:24:36.795188][mission_arena][skip_button][click] (1221.0, 474.0)
[2022-08-15 23:24:36.809961][mission_arena][skip_button][idle] 7.31 seconds
[2022-08-15 23:24:44.126773][Task] <click> next_button
[2022-08-15 23:24:44.168851][mission_arena][next_button][click] (1119.0, 662.0)
[2022-08-15 23:24:44.178613][mission_arena][next_button][idle] 6.7 seconds
[2022-08-15 23:24:50.885371][Task] <click> blank_button
[2022-08-15 23:24:50.930958][mission_arena][blank_button][click] (55.0, 135.0)
[2022-08-15 23:24:50.940724][mission_arena][blank_button][idle] 5.6 seconds
[2022-08-15 23:24:56.547626][Task] <click> blank_button
[2022-08-15 23:24:56.584558][mission_arena][blank_button][click] (58.0, 141.0)
[2022-08-15 23:24:56.606333][mission_arena][blank_button][idle] 3.61 seconds
[2022-08-15 23:25:00.223644][Task] mission_gashapon
[2022-08-15 23:25:00.236367][Task] <click> gashapon_button
[2022-08-15 23:25:00.245622][mission_gashapon][gashapon_button][click] (996.0, 688.0)
[2022-08-15 23:25:00.256599][mission_gashapon][gashapon_button][idle] 5.33 seconds
[2022-08-15 23:25:05.606023][Task] <click> blank_button
[2022-08-15 23:25:05.622673][mission_gashapon][blank_button][click] (55.0, 144.0)
[2022-08-15 23:25:05.636348][mission_gashapon][blank_button][idle] 3.07 seconds
[2022-08-15 23:25:08.713058][Task] <click> normal_button
[2022-08-15 23:25:08.768287][mission_gashapon][normal_button][click] (1202.0, 96.0)
[2022-08-15 23:25:08.783044][mission_gashapon][normal_button][idle] 6.39 seconds
[2022-08-15 23:25:15.181656][Task] <click> free_button
[2022-08-15 23:25:15.240507][mission_gashapon][free_button][click] (961.0, 463.0)
[2022-08-15 23:25:15.256140][mission_gashapon][free_button][idle] 4.93 seconds
[2022-08-15 23:25:20.193380][Task] <click> ok_button
[2022-08-15 23:25:20.201196][mission_gashapon][ok_button][click] (790.0, 487.0)
[2022-08-15 23:25:20.213065][mission_gashapon][ok_button][idle] 10.08 seconds
[2022-08-15 23:25:30.300923][Task] <click> receive_button
[2022-08-15 23:25:30.308927][mission_gashapon][receive_button][click] (639.0, 592.0)
[2022-08-15 23:25:30.321623][mission_gashapon][receive_button][idle] 5.62 seconds
[2022-08-15 23:25:35.955990][Task] mission_princess_arena
[2022-08-15 23:25:35.976845][Task] <click> adventure_button
[2022-08-15 23:25:35.981981][mission_princess_arena][adventure_button][click] (635.0, 674.0)
[2022-08-15 23:25:35.995162][mission_princess_arena][adventure_button][idle] 7.6 seconds
[2022-08-15 23:25:43.610651][Task] <click> princess_arena_button
[2022-08-15 23:25:43.656461][mission_princess_arena][princess_arena_button][click] (1149.0, 535.0)
[2022-08-15 23:25:43.669940][mission_princess_arena][princess_arena_button][idle] 5.93 seconds
[2022-08-15 23:25:49.611070][Task] <click> blank_button
[2022-08-15 23:25:49.619977][mission_princess_arena][blank_button][click] (66.0, 149.0)
[2022-08-15 23:25:49.639018][mission_princess_arena][blank_button][idle] 5.66 seconds
[2022-08-15 23:25:55.310507][Task] <click> receive_button
[2022-08-15 23:25:55.319301][mission_princess_arena][receive_button][click] (399.0, 463.0)
[2022-08-15 23:25:55.333692][mission_princess_arena][receive_button][idle] 5.01 seconds
[2022-08-15 23:26:00.353812][Task] <click> blank_button
[2022-08-15 23:26:00.378476][mission_princess_arena][blank_button][click] (66.0, 140.0)
[2022-08-15 23:26:00.395161][mission_princess_arena][blank_button][idle] 5.69 seconds
[2022-08-15 23:26:06.097966][Task] <click> first_person
[2022-08-15 23:26:06.152881][mission_princess_arena][first_person][click] (806.0, 237.0)
[2022-08-15 23:26:06.181681][mission_princess_arena][first_person][idle] 3.71 seconds
[2022-08-15 23:26:09.901021][Task] <click> next_team_button
[2022-08-15 23:26:09.916874][mission_princess_arena][next_team_button][click] (1100.0, 610.0)
[2022-08-15 23:26:09.929097][mission_princess_arena][next_team_button][idle] 5.78 seconds
[2022-08-15 23:26:15.724113][Task] <click> next_team_button
[2022-08-15 23:26:15.780337][mission_princess_arena][next_team_button][click] (1092.0, 602.0)
[2022-08-15 23:26:15.799204][mission_princess_arena][next_team_button][idle] 5.88 seconds
[2022-08-15 23:26:21.690558][Task] <click> attack_button
[2022-08-15 23:26:21.698634][mission_princess_arena][attack_button][click] (1130.0, 604.0)
[2022-08-15 23:26:21.713722][mission_princess_arena][attack_button][idle] 11.47 seconds
[2022-08-15 23:26:33.194084][Task] <click> skip_button
[2022-08-15 23:26:33.201151][mission_princess_arena][skip_button][click] (1218.0, 471.0)
[2022-08-15 23:26:33.225451][mission_princess_arena][skip_button][idle] 10.91 seconds
[2022-08-15 23:26:44.150130][Task] <click> next_button
[2022-08-15 23:26:44.199175][mission_princess_arena][next_button][click] (1077.0, 655.0)
[2022-08-15 23:26:44.215379][mission_princess_arena][next_button][idle] 7.33 seconds
[2022-08-15 23:26:51.556848][Task] <click> blank_button
[2022-08-15 23:26:51.565873][mission_princess_arena][blank_button][click] (66.0, 141.0)
[2022-08-15 23:26:51.582858][mission_princess_arena][blank_button][idle] 4.38 seconds
[2022-08-15 23:26:55.979681][Task] <click> blank_button
[2022-08-15 23:26:56.028122][mission_princess_arena][blank_button][click] (65.0, 135.0)
[2022-08-15 23:26:56.040835][mission_princess_arena][blank_button][idle] 5.66 seconds
[2022-08-15 23:27:01.711551][Task] mission_complete
[2022-08-15 23:27:01.721201][Task] <click> main_button
[2022-08-15 23:27:01.729994][mission_complete][main_button][click] (109.0, 697.0)
[2022-08-15 23:27:01.746489][mission_complete][main_button][idle] 5.04 seconds
[2022-08-15 23:27:06.794713][Task] <click> mission_button
[2022-08-15 23:27:06.801782][mission_complete][mission_button][click] (1119.0, 584.0)
[2022-08-15 23:27:06.818420][mission_complete][mission_button][idle] 5.99 seconds
[2022-08-15 23:27:12.825774][Task] <click> receive_button
[2022-08-15 23:27:12.883495][mission_complete][receive_button][click] (1144.0, 596.0)
[2022-08-15 23:27:12.899609][mission_complete][receive_button][idle] 3.13 seconds
[2022-08-15 23:27:16.043830][Task] <click> blank_button
[2022-08-15 23:27:16.052620][mission_complete][blank_button][click] (51.0, 131.0)
[2022-08-15 23:27:16.069324][mission_complete][blank_button][idle] 5.18 seconds
[2022-08-15 23:27:21.255758][Connect] taskkill /f /im adb.exe
[2022-08-15 23:27:21.447750][Connect] F:\LDPlayer\LDPlayer4.0\adb.exe kill-server
[2022-08-15 23:27:21.461564]['SUCCESS: The process "adb.exe" with PID 1504 has been terminated.']
[2022-08-16 22:21:24.024055][Task_List] ['receive_energy', 'mission_dungeons', 'mission_gashapon', 'mission_explore', 'shopping', 'mission_guild', 'mission_arena', 'mission_princess_arena', 'mission_complete']
[2022-08-16 22:21:24.031868][Task] initial
[2022-08-16 22:21:24.031868][Task] <click> blank_button
[2022-08-16 22:21:24.032844][initial][blank_button][click] (0, 0.0)
[2022-08-16 22:21:24.036751][initial][blank_button][idle] 11.16 seconds
[2022-08-16 22:21:35.197110][Task] receive_energy
[2022-08-16 22:21:35.197110][Task] <click> home_button
[2022-08-16 22:21:35.197110][receive_energy][home_button][click] (818.0, 680.0)
[2022-08-16 22:21:35.201017][receive_energy][home_button][idle] 5.35 seconds
[2022-08-16 22:21:40.551218][Task] <click> receive_button
[2022-08-16 22:21:40.551218][receive_energy][receive_button][click] (1202.0, 568.0)
[2022-08-16 22:21:40.554148][receive_energy][receive_button][idle] 3.41 seconds
[2022-08-16 22:21:43.965241][Task] <click> blank_button
[2022-08-16 22:21:43.965241][receive_energy][blank_button][click] (64.0, 47.0)
[2022-08-16 22:21:43.968171][receive_energy][blank_button][idle] 4.42 seconds
[2022-08-16 22:21:48.407342][Task] mission_dungeons
[2022-08-16 22:21:48.407342][Task] <click> adventure_button
[2022-08-16 22:21:48.407342][mission_dungeons][adventure_button][click] (652.0, 697.0)
[2022-08-16 22:21:48.410271][mission_dungeons][adventure_button][idle] 5.05 seconds
[2022-08-16 22:21:53.460767][Task] <click> dungeons_button
[2022-08-16 22:21:53.460767][mission_dungeons][dungeons_button][click] (1171.0, 195.0)
[2022-08-16 22:21:53.463698][mission_dungeons][dungeons_button][idle] 6.02 seconds
[2022-08-16 22:21:59.483926][Task] <click> last_extreme_button
[2022-08-16 22:21:59.483926][mission_dungeons][last_extreme_button][click] (1084.0, 316.0)
[2022-08-16 22:21:59.486857][mission_dungeons][last_extreme_button][idle] 4.47 seconds
[2022-08-16 22:22:03.958493][Task] <click> ok_button
[2022-08-16 22:22:03.958493][mission_dungeons][ok_button][click] (774.0, 570.0)
[2022-08-16 22:22:03.962398][mission_dungeons][ok_button][idle] 5.45 seconds
[2022-08-16 22:22:09.412579][Task] <click> first_enemy
[2022-08-16 22:22:09.412579][mission_dungeons][first_enemy][click] (904.0, 359.0)
[2022-08-16 22:22:09.415509][mission_dungeons][first_enemy][idle] 3.31 seconds
[2022-08-16 22:22:12.725920][Task] <click> challenge_button
[2022-08-16 22:22:12.725920][mission_dungeons][challenge_button][click] (1114.0, 605.0)
[2022-08-16 22:22:12.728849][mission_dungeons][challenge_button][idle] 6.31 seconds
[2022-08-16 22:22:19.039086][Task] <click> my_team_button
[2022-08-16 22:22:19.039587][mission_dungeons][my_team_button][click] (1157.0, 116.0)
[2022-08-16 22:22:19.042589][mission_dungeons][my_team_button][idle] 4.85 seconds
[2022-08-16 22:22:23.892729][Task] <click> call_button
[2022-08-16 22:22:23.893230][mission_dungeons][call_button][click] (1084.0, 276.0)
[2022-08-16 22:22:23.898234][mission_dungeons][call_button][idle] 3.66 seconds
[2022-08-16 22:22:27.559772][Task] <click> attack_button
[2022-08-16 22:22:27.560273][mission_dungeons][attack_button][click] (1100.0, 602.0)
[2022-08-16 22:22:27.564276][mission_dungeons][attack_button][idle] 37.01 seconds
[2022-08-16 22:23:04.574827][Task] <click> next_button
[2022-08-16 22:23:04.575328][mission_dungeons][next_button][click] (1135.0, 651.0)
[2022-08-16 22:23:04.580832][mission_dungeons][next_button][idle] 6.27 seconds
[2022-08-16 22:23:10.851232][Task] <click> blank_button
[2022-08-16 22:23:10.851732][mission_dungeons][blank_button][click] (54.0, 136.0)
[2022-08-16 22:23:10.856236][mission_dungeons][blank_button][idle] 9.32 seconds
[2022-08-16 22:23:20.176762][Task] <click> second_enemy
[2022-08-16 22:23:20.177262][mission_dungeons][second_enemy][click] (633.0, 349.0)
[2022-08-16 22:23:20.182266][mission_dungeons][second_enemy][idle] 3.97 seconds
[2022-08-16 22:23:24.152466][Task] <click> challenge_button
[2022-08-16 22:23:24.152966][mission_dungeons][challenge_button][click] (1132.0, 611.0)
[2022-08-16 22:23:24.157470][mission_dungeons][challenge_button][idle] 7.77 seconds
[2022-08-16 22:23:31.928161][Task] <click> attack_button
[2022-08-16 22:23:31.928662][mission_dungeons][attack_button][click] (1116.0, 611.0)
[2022-08-16 22:23:31.932665][mission_dungeons][attack_button][idle] 37.08 seconds
[2022-08-16 22:24:09.013574][Task] <click> next_button
[2022-08-16 22:24:09.014075][mission_dungeons][next_button][click] (1111.0, 653.0)
[2022-08-16 22:24:09.018579][mission_dungeons][next_button][idle] 6.37 seconds
